彖	彑𧰨 hu
盒	𠆢皿 rm
盔	𠂇皿 um
盗	冫皿 dm
盛	成皿 im
盟	日皿 om
盦	𠆢皿 rm
盯	目丁 od
盱	目于 oy
盲	亡目 wo
盷	目匀 oy
相	木目 mo
盼	目分 of
眙	目口 ok
眚	生目 uo
真	十八 ub
眦	目匕 ob
眩	目玄 ox
眭	目土 ot
眯	目米 om
眵	目夕 ox
着	⺶目 yo
睃	目夂 ow
睄	目⺝ oo
睎	目巾 oj
睐	目来 ol
睚	目土 ot
睛	目⺝ oo
睡	目士 ot
睥	目十 ou
睦	目土 ot
睨	目儿 oe
睫	目龰 oz
睬	目采 oc
睹	目日 oo
瞄	目田 ot
瞅	目火 oh
瞋	目八 ob
瞎	目口 ok
瞒	目两 ol
瞟	目示 ou
瞠	目土 ot
瞢	艹目 co
瞧	目灬 oh
瞫	目十 ou
瞰	目攵 ow
瞳	目里 ol
瞽	士目 to
矞	矛口 mk
矣	厶矢 su
矬	矢人 ur
矮	矢女 un
矰	矢日 uo
矶	石几 uj
矸	石干 ug
矼	石工 ug
矿	石广 ug
码	石马 um
砆	石夫 uf
砌	石刀 ud
砍	石欠 uq
砒	石匕 ub
砗	石车 ui
砜	石风 uf
砝	石去 uq
砟	石乍 uv
砠	石且 uq
砣	石匕 ub
砧	石占 uv
砫	石主 uv
砬	石立 ul
砮	女石 nu
砰	石平 up
破	石皮 up
砹	石乂 ux
砺	石万 uw
砼	石工 ug
础	石出 ui
硁	石𢀖 uj
硅	石土 ut
硊	石㔾 uv
硌	石口 uk
硎	石刂 ud
硐	石口 uk
硒	石西 ux
硔	石共 ug
硕	石页 uy
硖	石夹 uj
硗	石兀 uw
硝	石⺝ uo
硬	石更 ug
硷	石佥 uq
硼	石月 uo
硿	石工 ug
碃	石⺝ uo
碇	石龰 uz
碈	石日 uo
碉	石口 uk
碌	石⺢ uu
碍	石寸 uc
碎	石十 uu
碏	石日 uo
碑	石十 uu
碗	石㔾 uv
碘	石八 ub
碛	石贝 ub
碥	石卄 uc
碲	石巾 uj
碳	石火 uh
碶	石大 ud
磁	石幺 uy
磅	石方 uf
磉	石木 um
磊	石石 uu
磋	石工 ug
磏	石兼 uj
磐	舟石 vu
磜	石示 uu
磡	石力 ul
磲	石木 um
磹	石十 uu
磻	石田 ut
礁	石灬 uh
礅	石攵 uw
礌	石田 ut
礴	石寸 uc
礵	石目 uo
祀	礻巳 ps
祃	礻马 pm
祆	礻天 pt
祉	礻止 pv
祊	礻方 pf
祋	礻殳 pu
祏	礻石 pu
祐	礻口 pk
祖	礻且 pq
祚	礻乍 pv
祛	礻去 pq
祜	礻古 pg
祝	礻兄 px
祠	礻口 pk
祢	礻小 px
票	覀示 xu
祯	礻贝 pb
祲	礻又 py
祷	礻寸 pc
祺	礻八 pb
祼	礻果 pg
禁	木示 mu
禄	礻⺢ pu
禅	礻十 pu
禊	礻大 pd
禔	礻龰 pz
禘	礻巾 pj
禚	礻灬 ph
禛	礻八 pb
禤	礻习 px
禧	礻口 pk
禽	𠆢禸 rn
稣	鱼禾 yh
穴	宀八 bb
窆	宀乏 bf
竃	宀电 bd
立	亠䒑 wb
竘	立句 lj
站	立占 lv
竞	立兄 lx
竟	立儿 le
章	立十 lu
童	立里 ll
竦	立束 lu
端	立而 le
竹	亇亇 gg
竺	竹二 ve
竽	竹于 vy
竿	竹干 vg
笃	竹马 vm
笆	竹巴 vb
笏	竹勿 vw
笑	竹夭 vy
笙	竹生 vu
笞	竹口 vk
笠	竹立 vl
笤	竹口 vk
笥	竹口 vk
符	竹寸 vc
笮	竹乍 vv
笯	竹又 vy
笱	竹句 vj
笳	竹口 vk
笺	竹戋 vj
笾	竹力 vl
筀	竹土 vt
筅	竹儿 ve
等	竹寸 vc
筋	竹力 vl
筌	竹王 vw
筏	竹戈 vg
筒	竹口 vk
答	竹口 vk
策	竹朿 vu
筘	竹口 vk
筚	竹十 vu
筛	竹巾 vj
筜	竹彐 ve
筠	竹匀 vy
筢	竹巴 vb
筥	竹口 vk
筦	竹元 vy
筮	竹人 vr
筲	竹⺝ vo
筵	竹正 vv
筶	竹口 vk
筷	竹夬 vg
筹	竹寸 vc
筻	竹更 vg
筼	竹贝 vb
简	竹日 vo
箐	竹⺝ vo
箓	竹⺢ vu
箔	竹白 vb
箕	竹八 vb
箖	竹木 vm
箜	竹工 vg
箢	竹㔾 vv
箦	竹贝 vb
箩	竹夕 vx
箪	竹十 vu
箫	竹八 vb
箬	竹口 vk
箭	竹刂 vd
箱	竹目 vo
箸	竹日 vo
篁	竹王 vw
篇	竹卄 vc
篌	竹矢 vu
篑	竹贝 vb
篓	竹女 vn
篙	竹口 vk
篝	竹冉 vr
篡	竹厶 vs
篥	竹木 vm
篦	竹匕 vb
篪	竹几 vj
篮	竹皿 vm
篯	竹戋 vj
篱	竹禸 vn
篷	竹丰 vf
簃	竹夕 vx
簇	竹矢 vu
簉	竹口 vk
簋	竹皿 vm
簏	竹鹿 vl
簕	竹力 vl
簟	竹十 vu
簧	竹八 vb
簰	竹十 vu
簸	竹皮 vp
籀	竹田 vt
籁	竹贝 vb
米	丷木 bm
籴	入米 rm
类	米大 md
籼	米山 mu
籽	米子 mz
粉	米分 mf
粑	米巴 mb
粒	米立 ml
粕	米白 mb
粗	米且 mq
粘	米占 mv
粝	米万 mw
粞	米西 mx
粢	冫米 dm
粪	米共 mg
粱	氵米 dm
粳	米更 mg
粹	米十 mu
粽	米示 mu
精	米⺝ mo
粿	米果 mg
糅	米木 mm
糇	米矢 mu
糈	米⺝ mo
糊	米月 mo
糍	米幺 my
糕	米灬 mh
糖	米口 mk
糗	米犬 mq
糙	米口 mk
糜	广米 gm
糟	米曰 mo
糠	米隶 ml
糨	米虫 mi
紫	止糸 vx
絜	丰糸 fx
絮	女糸 nx
絷	扌糸 fx
綮	户糸 hx
縢	月糸 ox
繁	𠂉糸 px
纂	竹糸 vx
纡	纟于 sy
红	纟工 sg
纣	纟寸 sc
纤	纟千 sq
纩	纟广 sg
纪	纟己 sj
纭	纟云 sy
纰	纟匕 sb
纲	纟㐅 sx
纳	纟内 sn
纵	纟人 sr
纶	纟仑 sl
纷	纟分 sf
纹	纟文 sw
纺	纟方 sf
纽	纟丑 si
线	纟戋 sj
绀	纟甘 sg
组	纟且 sq
细	纟田 st
织	纟只 sv
绊	纟半 sb
绌	纟出 si
绍	纟口 sk
经	纟𢀖 sj
绐	纟口 sk
绑	纟⻏ se
绒	纟十 su
结	纟口 sk
绕	纟兀 sw
绖	纟土 st
绘	纟云 sy
给	纟口 sk
绚	纟日 so
络	纟口 sk
绝	纟巴 sb
绞	纟父 sf
统	纟允 sy
绠	纟更 sg
绡	纟⺝ so
绤	纟谷 sg
绥	纟女 sn
绦	纟木 sm
绩	纟贝 sb
绪	纟日 so
续	纟⺀ sd
绮	纟可 sk
绯	纟非 sf
绰	纟十 su
绱	纟口 sk
绲	纟匕 sb
绶	纟又 sy
绷	纟月 so
绸	纟口 sk
绹	纟缶 sf
绻	纟㔾 sv
综	纟示 su
绽	纟龰 sz
绿	纟⺢ su
缂	纟革 sg
缃	纟目 so
缅	纟面 sm
缇	纟龰 sz
缊	纟皿 sm
缌	纟心 sx
缎	纟殳 su
缐	纟水 su
缑	纟矢 su
缒	纟㠯 sl
缓	纟又 sy
缔	纟巾 sj
缕	纟女 sn
编	纟卄 sc
缙	纟日 so
缛	纟寸 sc
缜	纟八 sb
缝	纟丰 sf
缟	纟口 sk
缠	纟里 sl
缡	纟禸 sn
缢	纟皿 sm
缣	纟兼 sj
缤	纟八 sb
缥	纟示 su
缦	纟又 sy
缧	纟糸 sx
缨	纟女 sn
缩	纟百 sb
缮	纟口 sk
缯	纟日 so
缱	纟㠯 sl
缵	纟贝 sb
缸	缶工 fg
罍	田缶 tf
网	冂乂 kx
罕	⺳干 bg
罗	罒夕 sx
罚	罒刂 sd
罟	罒古 sg
罡	罒正 sv
罢	罒去 sq
罩	罒十 su
罪	罒非 sf
罱	罒干 sg
署	罒日 so
罶	罒田 st
罾	罒日 so
羁	罒马 sm
羋	卝𰀁 cf
羓	羊巴 yb
羖	羊殳 yu
羚	羊龴 ys
羞	⺶丑 yi
羟	羊𢀖 yj
羡	𦍌欠 yq
羰	羊火 yh
羱	羊小 yx
羽	习习 xx
翁	公习 gx
翂	习分 xf
翊	立习 lx
翌	习立 xl
翎	𠆢习 rx
翔	羊习 yx
翕	𠆢习 rx
翚	习车 xi
翛	亻习 rx
翠	习十 xu
翥	耂习 lx
翦	丷习 bx
翩	户习 hx
翯	习口 xk
翻	釆习 cx
耂	土丿 tp
耇	耂句 lj
耋	老土 lt
而	丆丨 al
耍	而女 en
耐	而寸 ec
耑	山而 ue
耔	耒子 lz
耘	耒云 ly
耙	耒巴 lb
耠	耒口 lk
耢	耒力 ll
耤	耒日 lo
耥	耒口 lk
耧	耒女 ln
耨	耒寸 lc
耩	耒冉 lr
耪	耒方 lf
耰	耒夂 lw
耱	耒石 lu
耸	人耳 re
聱	龶耳 fe
肋	⺼力 ol
肌	⺼几 oj
肓	亡⺝ wo
肘	⺼寸 oc
肚	⺼土 ot
肛	⺼工 og
肝	⺼干 og
股	⺼殳 ou
肢	⺼支 ov
肤	⺼夫 of
肥	⺼巴 ob
肪	⺼方 of
肭	⺼内 on
肮	⺼几 oj
肴	㐅月 xo
肷	⺼欠 oq
肸	⺼十 ou
胄	由⺝ yo
胈	⺼又 oy
背	北⺝ bo
胎	⺼口 ok
胖	⺼半 ob
胙	⺼乍 ov
胜	⺼生 ou
胞	⺼包 ob
胠	⺼去 oq
胡	古月 go
胨	⺼东 od
胪	⺼尸 ou
胫	⺼𢀖 oj
胬	女肉 nr
胭	⺼因 oy
胰	⺼夷 oy
胱	⺼光 og
胲	⺼人 or
胳	⺼口 ok
胴	⺼口 ok
胶	⺼父 of
胺	⺼女 on
能	厶匕 sb
脂	⺼日 oo
脆	⺼㔾 ov
脍	⺼云 oy
脎	⺼木 om
脏	⺼土 ot
脒	⺼米 om
脘	⺼元 oy
脚	⺼卩 oe
脞	⺼人 or
脩	亻⺝ ro
脬	⺼子 oz
脱	⺼兄 ox
脲	⺼水 ou
脾	⺼十 ou
腆	⺼八 ob
腈	⺼⺝ oo
腊	⺼日 oo
腑	⺼寸 oc
腒	⺼古 og
腓	⺼非 of
腔	⺼工 og
腕	⺼㔾 ov
腘	⺼玉 oy
腙	⺼示 ou
腚	⺼龰 oz
腠	⺼天 ot
腥	⺼生 ou
腧	⺼刂 od
腩	⺼干 og
腮	⺼心 ox
腯	⺼目 oo
腰	⺼女 on
腱	⺼聿 oy
腴	⺼人 or
腹	⺼夂 ow
腺	⺼水 ou
腻	⺼贝 ob
腼	⺼面 om
腾	月马 om
膀	⺼方 of
膂	方⺝ fo
膑	⺼八 ob
膘	⺼示 ou
膙	⺼虫 oi
膛	⺼土 ot
膜	⺼大 od
膳	⺼口 ok
膺	广⺝ go
臆	⺼心 ox
臊	⺼木 om
臌	⺼支 ov
臑	⺼而 oe
臜	⺼贝 ob
臬	自木 zm
臭	自犬 zq
臼	丿一 pa
舀	爫臼 vj
舄	臼灬 jh
舅	臼力 jl
舌	千口 qk
舍	𠆢古 rg
舟	丿丶 pd
舠	舟刀 vd
舢	舟山 vu
舣	舟义 vy
舥	舟巴 vb
航	舟几 vj
舫	舟方 vf
般	舟殳 vu
舭	舟匕 vb
舱	舟㔾 vv
舲	舟龴 vs
舴	舟乍 vv
舵	舟匕 vb
舶	舟白 vb
舷	舟玄 vx
舸	舟可 vk
船	舟口 vk
舻	舟尸 vu
舾	舟西 vx
艄	舟⺝ vo
艇	舟𡈼 vw
艋	舟皿 vm
艎	舟王 vw
艏	舟自 vz
艚	舟曰 vo
艟	舟里 vl
色	⺈巴 db
艳	丰巴 fb
艾	艹乂 cx
节	艹𰆊 ce
芊	艹千 cq
芋	艹于 cy
芏	艹土 ct
芑	艹己 cj
芘	艹匕 cb
芙	艹夫 cf
芜	艹无 cw
芟	艹殳 cu
芠	艹文 cw
芡	艹欠 cq
芦	艹户 ch
芫	艹元 cy
芬	艹分 cf
芭	艹巴 cb
芮	艹内 cn
芯	艹心 cx
芰	艹支 cv
花	艹𠤎 cb
芳	艹方 cf
芴	艹勿 cw
芷	艹止 cv
芸	艹云 cy
苁	艹人 cr
苈	艹力 cl
苊	艹㔾 cv
苍	艹㔾 cv
苒	艹冉 cr
苓	艹龴 cs
苔	艹口 ck
苕	艹口 ck
苗	艹田 ct
苛	艹可 ck
苜	艹目 co
苞	艹包 cb
苟	艹句 cj
苡	艹人 cr
若	艹口 ck
苦	艹古 cg
苧	艹丁 cd
苫	艹占 cv
英	艹央 cy
苴	艹且 cq
苷	艹甘 cg
苹	艹平 cp
苻	艹寸 cc
茁	艹出 ci
茄	艹口 ck
茆	艹卩 ce
茇	艹又 cy
茈	艹匕 cb
茉	艹末 cw
茌	艹士 ct
茎	艹𢀖 cj
茑	艹鸟 cn
茓	艹八 cb
茗	艹口 ck
茚	艹卩 ce
茜	艹西 cx
茧	艹虫 ci
茨	艹欠 cq
茬	艹土 ct
茭	艹父 cf
茯	艹犬 cq
茱	艹未 cw
茳	艹工 cg
茴	艹口 ck
茵	艹因 cy
茶	艹朩 cm
茸	艹耳 ce
茹	艹口 ck
茺	艹允 cy
茼	艹口 ck
荀	艹日 co
荃	艹王 cw
荄	艹人 cr
荆	艹刂 cd
草	艹十 cu
荐	艹子 cz
荑	艹夷 cy
荔	艹力 cl
荖	艹老 cl
荙	艹大 cd
荚	艹夹 cj
荛	艹兀 cw
荜	艹十 cu
荟	艹云 cy
荤	艹车 ci
荨	艹寸 cc
荪	艹小 cx
荫	艹月 co
荬	艹⺀ cd
荭	艹工 cg
荷	艹可 ck
荻	艹火 ch
荽	艹女 cn
莅	艹立 cl
莉	艹刂 cd
莒	艹口 ck
莘	艹辛 cx
莙	艹口 ck
莛	艹𡈼 cw
莝	艹人 cr
莞	艹元 cy
莩	艹子 cz
莰	艹欠 cq
莱	艹来 cl
莲	艹车 ci
莳	艹寸 cc
获	艹犬 cq
莿	艹刂 cd
菀	艹㔾 cv
菁	艹⺝ co
菇	艹古 cg
菉	艹⺢ cu
菍	艹心 cx
菏	艹可 ck
菔	艹又 cy
菖	艹曰 co
菘	艹公 cg
菜	艹采 cc
菠	艹皮 cp
菲	艹非 cf
菼	艹火 ch
菽	艹又 cy
萁	艹八 cb
萃	艹十 cu
萆	艹十 cu
萋	艹女 cn
萌	艹月 co
萍	艹平 cp
萎	艹女 cn
萘	艹示 cu
萜	艹占 cv
萝	艹夕 cx
萣	艹龰 cz
营	艹口 ck
萧	艹八 cb
萩	艹火 ch
萳	艹干 cg
萸	艹人 cr
萹	艹卄 cc
落	艹口 ck
葆	艹木 cm
葑	艹寸 cc
葖	艹犬 cq
著	艹日 co
葙	艹目 co
葜	艹大 cd
董	艹重 cv
葩	艹巴 cb
葫	艹月 co
葰	艹夂 cw
葶	艹丁 cd
葸	艹心 cx
蒂	艹巾 cj
蒄	艹寸 cc
蒈	艹白 cb
蒉	艹贝 cb
蒋	艹寸 cc
蒌	艹女 cn
蒐	艹鬼 cg
蒡	艹方 cf
蒨	艹⺝ co
蒯	艹刂 cd
蒹	艹兼 cj
蒺	艹矢 cu
蒻	艹𢎥 cg
蒽	艹心 cx
蒿	艹口 ck
蓁	艹禾 ch
蓇	艹⺼ co
蓉	艹谷 cg
蓊	艹习 cx
蓐	艹寸 cc
蓓	艹口 ck
蓖	艹匕 cb
蓝	艹皿 cm
蓠	艹禸 cn
蓢	艹月 co
蓣	艹页 cy
蓬	艹丰 cf
蓿	艹百 cb
蔀	艹⻏ ce
蔃	艹虫 ci
蔈	艹示 cu
蔊	艹干 cg
蔓	艹又 cy
蔚	艹寸 cc
蔟	艹矢 cu
蔡	艹示 cu
蔫	艹灬 ch
蔷	艹口 ck
蔻	艹又 cy
蕃	艹田 ct
蕈	艹十 cu
蕉	艹灬 ch
蕖	艹木 cm
蕗	艹口 ck
蕙	艹心 cx
蕞	艹又 cy
蕰	艹皿 cm
蕻	艹共 cg
蕾	艹田 ct
薁	艹大 cd
薅	艹寸 cc
薇	艹几 cj
薏	艹心 cx
薛	艹辛 cx
薢	艹牛 cn
薨	艹匕 cb
薮	艹攵 cw
薯	艹日 co
薰	艹灬 ch
薳	艹𧘇 cy
薷	艹而 ce
薸	艹示 cu
薿	艹疋 cz
藜	艹氺 cu
藟	艹田 ct
藠	艹白 cb
藤	艹氺 cu
藻	艹木 cm
蘑	艹石 cu
蘩	艹糸 cx
蘸	艹灬 ch
虧	虍丂 hk
虮	虫几 ij
虷	虫干 ig
虸	虫子 iz
虹	虫工 ig
虽	口虫 ki
蚀	饣虫 ui
蚁	虫义 iy
蚂	虫马 im
蚄	虫方 if
蚆	虫巴 ib
蚊	虫文 iw
蚋	虫内 in
蚌	虫丰 if
蚍	虫匕 ib
蚣	虫公 ig
蚤	叉虫 ii
蚨	虫夫 if
蚱	虫乍 iv
蚲	虫平 ip
蚴	虫力 il
蚶	虫甘 ig
蚺	虫冉 ir
蛀	虫主 iv
蛃	虫内 in
蛄	虫古 ig
蛆	虫且 iq
蛇	虫匕 ib
蛉	虫龴 is
蛎	虫万 iw
蛏	虫土 it
蛔	虫口 ik
蛙	虫土 it
蛛	虫未 iw
蛞	虫舌 iu
蛟	虫父 if
蛤	虫口 ik
蛩	工虫 gi
蛭	虫土 it
蛰	扌虫 fi
蛱	虫夹 ij
蛲	虫兀 iw
蛳	虫巾 ij
蛸	虫⺝ io
蜀	⺫虫 si
蜂	虫丰 if
蜃	辰虫 ii
蜇	扌虫 fi
蜉	虫子 iz
蜊	虫刂 id
蜐	虫力 il
蜒	虫正 iv
蜓	虫𡈼 iw
蜕	虫兄 ix
蜘	虫口 ik
蜞	虫八 ib
蜡	虫日 io
蜢	虫皿 im
蜩	虫口 ik
蜱	虫十 iu
蜴	虫勿 iw
蜷	虫㔾 iv
蜻	虫⺝ io
蜾	虫果 ig
蜿	虫㔾 iv
蝈	虫玉 iy
蝉	虫十 iu
蝓	虫刂 id
蝗	虫王 iw
蝙	虫卄 ic
蝣	虫子 iz
蝮	虫夂 iw
蝰	虫土 it
蝴	虫月 io
蝻	虫干 ig
蝼	虫女 in
蝽	虫日 io
蝾	虫木 im
螂	虫⻏ ie
螃	虫方 if
螅	虫心 ix
螈	虫小 ix
螗	虫口 ik
螠	虫皿 im
螣	月虫 oi
螨	虫两 il
螬	虫曰 io
螭	虫禸 in
螱	尸虫 ui
螳	虫土 it
螵	虫示 iu
螺	虫糸 ix
蟆	虫大 id
蟋	虫心 ix
蟏	虫八 ib
蟑	虫十 iu
蟠	虫田 it
蟥	虫八 ib
蟪	虫心 ix
蟫	虫十 iu
蟮	虫口 ik
蟹	⺈虫 di
蠊	虫兼 ij
蠕	虫而 ie
衣	亠𧘇 wy
衬	衤寸 pc
衲	衤内 pn
衾	𠆢衣 ry
袄	衤夭 py
袈	力衣 ly
袋	亻衣 ry
袍	衤包 pb
袜	衤末 pw
袢	衤半 pb
袪	衤去 pq
被	衤皮 pp
袯	衤又 py
袱	衤犬 pq
袷	衤口 pk
袼	衤口 pk
裂	歹衣 dy
装	丬衣 ly
裆	衤彐 pe
裈	衤车 pi
裎	衤王 pw
裔	衣口 yk
裕	衤谷 pg
裙	衤口 pk
裟	氵衣 dy
裢	衤车 pi
裤	衤车 pi
裥	衤日 po
裨	衤十 pu
裸	衤果 pg
裼	衤勿 pw
裾	衤古 pg
褊	衤卄 pc
褓	衤木 pm
褕	衤刂 pd
褙	衤⺝ po
褚	衤日 po
褛	衤女 pn
褟	衤习 px
褫	衤几 pj
褯	衤巾 pj
褴	衤皿 pm
襁	衤虫 pi
襚	衤豕 pu
襟	衤示 pu
襦	衤而 pe
西	一口 ak
要	覀女 xn
覃	覀十 xu
覆	覀夂 xw
觟	⺈土 dt
解	⺈牛 dn
觥	⺈光 dg
觫	⺈束 du
觭	⺈可 dk
觯	⺈十 du
訚	门口 mk
訾	止口 vk
詈	⺫口 sk
詟	龙口 lk
誉	𭕄口 xk
誓	扌口 fk
警	艹口 ck
计	讠十 yu
订	讠丁 yd
认	讠人 yr
讥	讠几 yj
讦	讠干 yg
讧	讠工 yg
讨	讠寸 yc
讪	讠山 yu
议	讠义 yy
记	讠己 yj
讷	讠内 yn
许	讠午 yw
讹	讠𠤎 yb
论	讠仑 yl
讼	讠公 yg
讽	讠风 yf
设	讠殳 yu
访	讠方 yf
证	讠正 yv
诂	讠古 yg
诃	讠可 yk
评	讠平 yp
诅	讠且 yq
识	讠只 yv
诈	讠乍 yv
词	讠口 yk
诎	讠出 yi
诏	讠口 yk
诐	讠皮 yp
诒	讠口 yk
诔	讠耒 yl
试	讠工 yg
诖	讠土 yt
诗	讠寸 yc
诘	讠口 yk
诙	讠火 yh
诛	讠未 yw
诜	讠儿 ye
话	讠舌 yu
诞	讠正 yv
诟	讠口 yk
诠	讠王 yw
诡	讠㔾 yv
询	讠日 yo
诣	讠日 yo
该	讠人 yr
诧	讠七 yq
诨	讠车 yi
诩	讠习 yx
诬	讠人 yr
语	讠口 yk
诮	讠⺝ yo
误	讠天 yt
诰	讠口 yk
诳	讠王 yw
说	讠兄 yx
请	讠⺝ yo
诸	讠日 yo
诹	讠又 yy
诺	讠口 yk
读	讠⺀ yd
诽	讠非 yf
课	讠果 yg
诿	讠女 yn
谀	讠人 yr
谂	讠心 yx
调	讠口 yk
谅	讠小 yx
谆	讠子 yz
谇	讠十 yu
谈	讠火 yh
谊	讠且 yq
谋	讠木 ym
谍	讠木 ym
谐	讠白 yb
谓	讠⺝ yo
谕	讠刂 yd
谖	讠又 yy
谙	讠日 yo
谛	讠巾 yj
谜	讠米 ym
谝	讠卄 yc
谞	讠⺝ yo
谟	讠大 yd
谠	讠兄 yx
谢	讠寸 yc
谣	讠缶 yf
谤	讠方 yf
谥	讠皿 ym
谦	讠兼 yj
谧	讠皿 ym
谨	讠王 yw
谩	讠又 yy
谫	讠刀 yd
谭	讠十 yu
谯	讠灬 yh
谱	讠日 yo
谳	讠犬 yq
谴	讠㠯 yl
谶	讠韭 yj
谼	谷共 gg
谿	爫谷 vg
豁	宀谷 bg
貿	{丿𠄌丶}貝 pb
负	⺈贝 db
货	亻贝 rb
贩	贝又 by
贫	分贝 fb
购	贝勾 bg
贱	贝戋 bj
贲	十贝 ub
贳	世贝 ub
贴	贝占 bv
贶	贝兄 bx
贷	亻贝 rb
贺	力贝 lb
贻	贝口 bk
贼	贝十 bu
贽	扌贝 fb
贿	贝月 bo
赀	止贝 vb
赁	亻贝 rb
赂	贝口 bk
赃	贝土 bt
资	冫贝 db
赅	贝人 br
赊	贝示 bu
赋	贝止 bv
赌	贝日 bo
赎	贝⺀ bd
赐	贝勿 bw
赑	贝贝 bb
赒	贝口 bk
赕	贝火 bh
赗	贝目 bo
赚	贝兼 bj
赛	宀贝 bb
赞	⺧贝 nb
赟	文贝 wb
赠	贝日 bo
赧	赤又 iy
赪	赤贝 ib
赫	赤赤 ii
赭	赤日 io
走	土龰 tz
赵	土㐅 tx
赶	土干 tg
起	土己 tj
趄	土且 tq
超	土口 tk
趑	土欠 tq
趔	土刂 td
趟	土口 tk
趣	土又 ty
趱	土贝 tb
足	口龰 kz
趴	𧾷八 zb
趺	𧾷夫 zf
趾	𧾷止 zv
跂	𧾷支 zv
跃	𧾷夭 zy
跄	𧾷㔾 zv
跆	𧾷口 zk
跌	𧾷夫 zf
跎	𧾷匕 zb
跏	𧾷口 zk
跐	𧾷匕 zb
跑	𧾷包 zb
跖	𧾷石 zu
跗	𧾷寸 zc
跚	𧾷册 zc
跛	𧾷皮 zp
跣	𧾷儿 ze
跤	𧾷父 zf
跪	𧾷㔾 zv
跬	𧾷土 zt
路	𧾷口 zk
跱	𧾷寸 zc
践	𧾷戋 zj
跶	𧾷大 zd
跷	𧾷兀 zw
跸	𧾷十 zu
跹	𧾷千 zq
跺	𧾷木 zm
跽	𧾷心 zx
踅	扌足 fz
踌	𧾷寸 zc
踏	𧾷日 zo
踒	𧾷女 zn
踔	𧾷十 zu
踝	𧾷果 zg
踞	𧾷古 zg
踟	𧾷口 zk
踢	𧾷勿 zw
踦	𧾷可 zk
踩	𧾷采 zc
踪	𧾷示 zu
踬	𧾷贝 zb
踮	𧾷占 zv
踯	𧾷⻏ ze
踱	𧾷又 zy
踵	𧾷重 zv
踶	𧾷龰 zz
踹	𧾷而 ze
踺	𧾷聿 zy
蹀	𧾷木 zm
蹁	𧾷卄 zc
蹂	𧾷木 zm
蹄	𧾷巾 zj
蹉	𧾷工 zg
蹊	𧾷大 zd
蹋	𧾷习 zx
蹐	𧾷⺝ zo
蹑	𧾷又 zy
蹒	𧾷两 zl
蹚	𧾷土 zt
蹜	𧾷百 zb
蹭	𧾷日 zo
蹯	𧾷田 zt
蹲	𧾷寸 zc
蹾	𧾷攵 zw
躁	𧾷木 zm
躇	𧾷日 zo
躜	𧾷贝 zb
躝	𧾷柬 zj
车	一十 au
轩	车干 ig
轪	车大 id
轭	车㔾 iv
轮	车仑 il
软	车欠 iq
轰	车又 iy
轱	车古 ig
轲	车可 ik
轳	车尸 iu
轵	车只 iv
轶	车夫 if
轺	车口 ik
轻	车𢀖 ij
轼	车工 ig
轾	车土 it
辀	车舟 iv
辁	车王 iw
辂	车口 ik
较	车父 if
辆	车两 il
辇	夫车 fi
辉	光车 gi
辊	车匕 ib
辌	车小 ix
辏	车天 it
辒	车皿 im
输	车刂 id
辖	车口 ik
辘	车鹿 il
辙	车攵 iw
辚	车㐄 if
辛	立十 lu
辟	尸辛 ux
辣	辛束 xu
边	辶力 zl
达	辶大 zd
辿	辶山 zu
迁	辶千 zq
迂	辶于 zy
迄	辶乙 zv
过	辶寸 zc
运	辶云 zy
迕	辶午 zw
这	⻌文 zw
进	⻌井 zj
远	⻌元 zy
违	⻌韦 zw
连	⻌车 zi
迟	⻌尺 zi
迢	辶口 zk
迤	辶也 zy
迥	辶口 zk
迦	辶口 zk
迨	辶口 zk
迩	辶小 zx
迪	辶由 zy
迫	辶白 zb
迭	辶夫 zf
迮	辶乍 zv
述	辶术 zu
迷	辶米 zm
迸	辶开 zk
迺	辶西 zx
送	辶天 zt
适	辶舌 zu
逃	辶兆 zv
逆	辶屰 zn
选	⻌儿 ze
逊	⻌小 zx
逍	辶⺝ zo
递	辶𢎨 zd
逖	辶火 zh
通	辶用 zy
逛	辶王 zw
逝	辶斤 zj
逞	辶王 zw
造	辶口 zk
逢	辶丰 zf
逭	辶㠯 zl
逯	辶⺢ zu
逵	辶土 zt
逸	辶兔 zt
逻	⻌夕 zx
逾	辶刂 zd
遂	辶豕 zu
遄	辶而 ze
遆	辶巾 zj
遇	辶丶 zd
遍	辶卄 zc
遏	辶人 zr
遑	辶王 zw
遒	辶酉 zy
道	辶自 zz
遗	⻌贝 zb
遢	辶习 zx
遣	辶㠯 zl
遥	辶缶 zf
遴	辶㐄 zf
遵	辶寸 zc
邂	辶牛 zn
邃	辶豕 zu
邑	口巴 kb
邗	干⻏ ge
邘	于⻏ ye
邙	亡⻏ we
邛	工⻏ ge
邝	广⻏ ge
邠	分⻏ fe
邡	方⻏ fe
邢	开⻏ ke
邥	冖⻏ be
邮	由⻏ ye
邯	甘⻏ ge
邰	厶⻏ se
邲	必⻏ be
邵	刀⻏ de
邶	北⻏ be
邻	𠆢⻏ re
邽	土⻏ te
邾	丿⻏ pe
邿	土⻏ te
郁	𠂇⻏ ue
郃	𠆢⻏ re
郊	亠⻏ we
郐	𠆢⻏ re
郑	丷⻏ be
郓	冖⻏ be
郗	㐅⻏ xe
郚	五⻏ we
郛	爫⻏ ve
郜	⺧⻏ ne
郝	赤⻏ ie
郢	口⻏ ke
